IGN Network;Data;HR inic. e Final;Responsavel;KM Total; Material utilizado ; Horas totais ; Custo de Material ; KM ; Pedagio ; Primeira Hora ; Hora Adicional ; Valor  ; Total de horas ; SID 
Mensalidade Stalink ACC-4242771-34437-13;31/01/2026;----;Fabiana;;Mensalidade Stalink ACC-4242771-34437-13;03:00;;;; R$ 305,40 ;; R$305,40 ; R$305,40 ;46563
Mensalidade Stalink ACC-4329328-26952-20;31/01/2026;----;Fabiana;;Mensalidade Stalink ACC-4329328-26952-20;01:00;;;; R$305,40 ;; R$305,40 ; R$305,40 ;42981
Mensalidade Stalink ACC-1708747-97797-38;31/01/2026;----;Fabiana;;Mensalidade Stalink ACC-1708747-97797-38;01:00;;;; R$ 305,40 ;; R$305,40 ; R$305,40 ;42974
Mensalidade Stalink ACC-1708949-38457-30;31/01/2026;----;Fabiana;;Mensalidade Stalink ACC-1708949-38457-30;03:30;;;; R$305,40 ;; R$305,40 ; R$305,40 ;34191
Mensalidade Stalink ACC-2453334-50821-5;31/01/2026;----;Fabiana;;Mensalidade Stalink ACC-2453334-50821-5;02:30;;;; R$305,40 ;; R$305,40 ; R$305,40 ;42975
Mensalidade Stalink ACC-3892485-94154-27;31/01/2026;----;Fabiana;;Mensalidade Stalink ACC-3892485-94154-27;01:30;;;; R$ 305,40 ;; R$305,40 ; R$305,40 ;42977
Mensalidade Stalink ACC-3891839-72176-29;31/01/2026;----;Fabiana;;Mensalidade Stalink ACC-3891839-72176-29;01:30;;;; R$ 305,40 ;; R$305,40 ; R$305,40 ;42976
Mensalidade Stalink ACC-4382522-28546-16;31/01/2026;----;Fabiana;;Mensalidade Stalink ACC-4382522-28546-16;01:30;;;; R$ 305,40 ;; R$305,40 ; R$305,40 ;41933
Mensalidade Stalink ACC-4388625-55371-22;31/01/2026;----;Fabiana;;Mensalidade Stalink ACC-4388625-55371-22;03:00;;;; R$ 305,40 ;; R$305,40 ; R$305,40 ;48832
Mensalidade Stalink ACC-4388722-59676-32;31/01/2026;----;Fabiana;;Mensalidade Stalink ACC-4388722-59676-32;01:00;;;; R$ 305,40 ;; R$305,40 ; R$305,40 ;42246
Mensalidade Stalink ACC-4680195-87265-26;31/01/2026;----;Fabiana;;Mensalidade Stalink ACC-4680195-87265-26;01:00;;;; R$305,40 ;; R$305,40 ; R$305,40 ;43699
Mensalidade Stalink ACC-4680045-13272-7;31/01/2026;----;Fabiana;;Mensalidade Stalink ACC-4680045-13272-7;02:00;;;; R$ 305,40 ;; R$305,40 ; R$305,40 ;41955
Mensalidade Stalink ACC-5444730-68811-16;31/01/2026;----;Fabiana;;Mensalidade Stalink ACC-5444730-68811-16;01:30;;;; R$ 305,40 ;; R$305,40 ; R$305,40 ;43396
Mensalidade Stalink ACC-1849067-62380-19;31/01/2026;----;Fabiana;;Mensalidade Stalink ACC-1849067-62380-19;02:00;;;; R$ 305,40 ;; R$305,40 ; R$305,40 ;43831
Mensalidade Stalink ACC-DF-8959423-90317-8;31/01/2026;;Fabiana;;Mensalidade Stalink ACC-DF-8959423-90317-8;03:00;;;; R$ 305,40 ;; R$305,40 ; R$305,40 ;47396
Mensalidade Stalink ACC-1795188-59401-23;31/01/2026;;Fabiana;;Mensalidade Stalink ACC-1795188-59401-23;02:30;;;; R$ 305,40 ;; R$305,40 ; R$305,40 ;42982
Mensalidade Stalink ACC-DF-9126834-21477-2;31/01/2026;;Fabiana;;Mensalidade Stalink ACC-DF-9126834-21477-2;01:00;;;; R$ 305,40 ;; R$305,40 ; R$305,40 ;47393
Mensalidade Stalink ACC-DF-9201965-75351-1;31/01/2026;;Fabiana;;Mensalidade Stalink ACC-DF-9201965-75351-1;01:00;;;; R$ 305,40 ;; R$305,40 ; R$305,40 ;47394
Mensalidade Stalink ACC-1880742-49176-22;31/01/2026;;Fabiana;;Mensalidade Stalink ACC-1880742-49176-22;04:00;;;; R$ 305,40 ;; R$305,40 ; R$305,40 ;45422
Mensalidade Stalink ACC-DF-9611480-74403-95;31/01/2026;;Fabiana;;Mensalidade Stalink ACC-DF-9611480-74403-95;---;;;; R$305,40 ;; R$305,40 ; R$305,40 ;47947
Mensalidade Stalink ACC-DF-9897939-30744-20;31/01/2026;;Fabiana;;Mensalidade Stalink ACC-DF-9897939-30744-20;01:00;;;; R$305,40 ;; R$305,40 ; R$305,40 ;48050
Mensalidade Stalink ACC-DF-10934066-42301-35;31/01/2026;;Fabiana;;Mensalidade Stalink ACC-DF-10934066-42301-35;02:00;;;; R$ 305,40 ;; R$305,40 ; R$305,40 ;49103
Bosch Campinas - SP TT294069;09/01/2026;09:30 - 10:00;Flavio;;;01:00;;;; R$ 180,00 ;; R$180,00 ; R$180,00 ;TWS.5519.A009
Evonik Castro - PR PID15269;12/01/2026;10:00 - 11:00;Guilherme;;;02:00;;;; R$180,00 ;; R$180,00 ; R$180,00 ;TBR.5542.A019
Evonik Castro - PR PID15268;12/01/2026;11:00 - 12:00;Guilherme;;Envio de equipamento OY684401948BR R$42,60;05:30; R$42,60 ;;; R$ 180,00 ;; R$222,60 ; R$180,00 ;TBR.5542.A018
TJSP Nazare Paulista - SP PID14991;27/01/2026;14:00 - 15:00;Guilherme;;;01:30;;;; R$ 180,00 ;; R$180,00 ; R$180,00 ;"	TBR.5511.A031"
Itau Esteio - RS PID13596;28/01/2026;10:00 - 11:00;Guilherme;;Envio de equipamento QC963898536BR R$42,60;02:00; R$ 42,60 ;;; R$180,00 ;; R$222,60 ; R$180,00 ;TBR.5551.A032
ETEC Orlandia - SP TT293024;02/01/2026;12:30 - 13:00;Izabella;130;;01:00;; R$195,00 ; R$ 36,00 ; R$ 180,00 ;; R$411,00 ; R$180,00 ;TBR.5516.A021
EM Jose Moreira da Silva  Rio de Janeiro - RJ TT293972;06/01/2026;13:30 - 16:00;Izzo;50;Chip Vivo R$30,00;01:00; R$ 30,00 ; R$75,00 ;; R$ 180,00 ; R$180,00 ; R$465,00 ; R$360,00 ;EMB.5521.A030
Bradesco Salvador - BA TT294861;15/01/2026;14:30 - 16:30;Izzo;;;01:00;;;; R$ 180,00 ; R$120,00 ; R$300,00 ; R$300,00 ;TXB.5571.A006
PRF Roseira - SP TT295252;16/01/2026;12:30 - 13:30;Izzo;74;;02:30;; R$111,00 ;; R$ 180,00 ;; R$291,00 ; R$180,00 ;EMB.5512.A011
EM Jose Moreira da Silva  Rio de Janeiro - RJ TT293972;16/01/2026;12:30 - 13:30;Izzo;50;;01:00;; R$75,00 ;; R$ 180,00 ;; R$255,00 ; R$180,00 ;EMB.5521.A030
CM Vila Kennedy Rio de Janeiro - RJ PID14198;30/01/2026;09:00 - 09:30;Izzo;;;01:00;;;; R$ 180,00 ;; R$180,00 ; R$180,00 ;EMB.5521.A044
EM Maria Quiteria Rio de Janeiro - RJ PID14210;30/01/2026;09:30 - 10:00;Izzo;;;01:00;;;; R$ 180,00 ;; R$180,00 ; R$180,00 ;EMB.5521.A055
EM Marechal Alcides Etchegoyen Rio de Janeiro - RJ PID14197;30/01/2026;10:00 - 10:30;Izzo;;;01:00;;;; R$ 180,00 ;; R$180,00 ; R$180,00 ;EMB.5521.A043
EDI Vila Kennedy Rio de Janeiro - RJ PID14200;30/01/2026;11:00 - 11:30;Izzo;;;01:00;;;; R$ 180,00 ;; R$180,00 ; R$180,00 ;EMB.5521.A046
EM Coronel Jose Gomes Moreira Rio de Janeiro - RJ PID14199;30/01/2026;12:00 - 14:30;Izzo;;Envio de equipamento QN105992756BR R$48,60;01:00; R$ 48,60 ;;; R$ 180,00 ; R$180,00 ; R$408,60 ; R$360,00 ;EMB.5521.A045
Fitch Rio de Janeiro - RJ PID14148;30/01/2026;12:00 - 13:00;Izzo;;Envio de equipamento QC926166069BR R$42,60;03:00; R$42,60 ;;; R$ 180,00 ;; R$222,60 ; R$180,00 ;TWS.5521.A018
Pepsico Viana - ES PID10676;07/01/2026;09:00 - 12:00;Jeremias;;Envio de equipamento QN807453104BR R$42,60;01:00; R$ 42,60 ;;; R$ 180,00 ; R$120,00 ; R$342,60 ; R$300,00 ;VZB.5527.A003
PRF Itapecerica da Serra - SP PID15345;08/01/2026;09:00 - 10:00;Jeremias;75;;01:30;; R$112,50 ;; R$ 180,00 ;; R$292,50 ; R$180,00 ;EMB.5511.A028
CEF Sales Oliveira - SP PID15795;15/01/2026;13:00 - 14:00;Jeremias;125;;02:00;; R$187,50 ;; R$ 180,00 ;; R$367,50 ; R$180,00 ;TBR.5516.A068
G2L Logistica Mogi das Cruzes - SP PID15667;22/01/2026;10:00 - 11:30;Jeremias;38;;01:00;; R$57,00 ;; R$ 180,00 ; R$60,00 ; R$297,00 ; R$240,00 ;EMB.5511.A058
CEF Sales Oliveira - SP PID15795;22/01/2026;09:30 - 11:30;Jeremias;125;;01:00;; R$187,50 ; R$ 42,00 ; R$ 180,00 ; R$120,00 ; R$529,50 ; R$300,00 ;TBR.5516.A068
CEF Tapiratiba - SP PID15796;27/01/2026;10:00 - 11:00;Jeremias;;;01:00;;;; R$ 180,00 ;; R$180,00 ; R$180,00 ;TBR.5519.A014
BarryCallebaut São Paulo - SP PID15327;29/01/2026;10:00 - 11:30;Jeremias;36;;01:00;; R$54,00 ;; R$ 180,00 ; R$60,00 ; R$294,00 ; R$240,00 ;GTT.5511.A041
